model,bin,bin_left,bin_right,n,mean_predicted_risk,observed_dropout_rate,abs_calibration_error
Logistic Regression,1,0.0,0.1,454,0.04070575869155952,0.030837004405286344,0.009868754286273176
Logistic Regression,2,0.1,0.2,117,0.14393527836690526,0.07692307692307693,0.06701220144382833
Logistic Regression,3,0.2,0.30000000000000004,45,0.24909958526238382,0.2222222222222222,0.02687736304016161
Logistic Regression,4,0.30000000000000004,0.4,30,0.3509421960919489,0.26666666666666666,0.08427552942528221
Logistic Regression,5,0.4,0.5,33,0.4374947903147199,0.2727272727272727,0.16476751758744718
Logistic Regression,6,0.5,0.6000000000000001,25,0.5434499232691395,0.32,0.22344992326913954
Logistic Regression,7,0.6000000000000001,0.7000000000000001,16,0.6516680856025817,0.5,0.15166808560258171
Logistic Regression,8,0.7000000000000001,0.8,15,0.7587429543530984,0.8,0.04125704564690169
Logistic Regression,9,0.8,0.9,28,0.8465702590054892,0.9642857142857143,0.11771545528022509
Logistic Regression,10,0.9,1.0,326,0.9863689925412907,0.9846625766871165,0.0017064158541741925
Decision Tree,1,0.0,0.1,505,0.06490272637186731,0.07920792079207921,0.0143051944202119
Decision Tree,2,0.1,0.2,127,0.1636327061638861,0.14960629921259844,0.014026406951287651
Decision Tree,3,0.2,0.30000000000000004,81,0.27549251379038614,0.2962962962962963,0.02080378250591014
Decision Tree,6,0.5,0.6000000000000001,10,0.55,0.4,0.15000000000000002
Decision Tree,7,0.6000000000000001,0.7000000000000001,11,0.661764705882353,0.5454545454545454,0.11631016042780762
Decision Tree,9,0.8,0.9,14,0.8333333333333336,0.7142857142857143,0.11904761904761929
Decision Tree,10,0.9,1.0,341,0.9825976564979497,0.9472140762463344,0.035383580251615365
"Random Forest, tuned",1,0.0,0.1,323,0.04982456140350877,0.02786377708978328,0.02196078431372549
"Random Forest, tuned",2,0.1,0.2,208,0.13983974358974358,0.08653846153846154,0.05330128205128204
"Random Forest, tuned",3,0.2,0.30000000000000004,75,0.24573333333333328,0.12,0.12573333333333328
"Random Forest, tuned",4,0.30000000000000004,0.4,45,0.352962962962963,0.15555555555555556,0.19740740740740742
"Random Forest, tuned",5,0.4,0.5,47,0.4431914893617021,0.3617021276595745,0.08148936170212762
"Random Forest, tuned",6,0.5,0.6000000000000001,29,0.553103448275862,0.5517241379310345,0.0013793103448275223
"Random Forest, tuned",7,0.6000000000000001,0.7000000000000001,26,0.6591025641025641,0.7692307692307693,0.1101282051282052
"Random Forest, tuned",8,0.7000000000000001,0.8,41,0.745691056910569,0.9512195121951219,0.20552845528455288
"Random Forest, tuned",9,0.8,0.9,79,0.8533333333333333,0.9493670886075949,0.09603375527426161
"Random Forest, tuned",10,0.9,1.0,216,0.9601851851851853,1.0,0.03981481481481475
