feature,value,false_negative_rate_with_value,true_positive_rate_with_value,all_dropout_rate_with_value
Gender,0,0.6,0.449468085106383,0.4671361502347418
Gender,1,0.4,0.550531914893617,0.5328638497652582
International,0,0.96,0.9707446808510638,0.9694835680751174
International,1,0.04,0.02925531914893617,0.03051643192488263
Scholarship holder,0,0.88,0.9202127659574468,0.9154929577464789
Scholarship holder,1,0.12,0.0797872340425532,0.08450704225352113
Debtor,0,0.96,0.7446808510638298,0.7699530516431925
Debtor,1,0.04,0.2553191489361702,0.2300469483568075
Tuition fees up to date,0,0.0,0.3882978723404255,0.3427230046948357
Tuition fees up to date,1,1.0,0.6117021276595744,0.6572769953051644
