feature,importance,original_feature
Curricular units 2nd sem (approved),0.16754141031695458,Curricular units 2nd sem (approved)
Curricular units 1st sem (approved),0.12253345215448741,Curricular units 1st sem (approved)
Curricular units 2nd sem (grade),0.10621542218817122,Curricular units 2nd sem (grade)
Curricular units 1st sem (grade),0.06959678958796298,Curricular units 1st sem (grade)
Tuition fees up to date_0,0.03472593792448707,Tuition fees up to date
Curricular units 2nd sem (evaluations),0.03180821478431791,Curricular units 2nd sem (evaluations)
Tuition fees up to date_1,0.02997339701329787,Tuition fees up to date
Age at enrollment,0.028219819161817625,Age at enrollment
Curricular units 1st sem (evaluations),0.027253074408736744,Curricular units 1st sem (evaluations)
Admission grade,0.026764005054882845,Admission grade
Previous qualification (grade),0.023059319015696148,Previous qualification (grade)
Scholarship holder_0,0.01855084021857283,Scholarship holder
Scholarship holder_1,0.01709863174704747,Scholarship holder
Curricular units 1st sem (enrolled),0.016034456788178487,Curricular units 1st sem (enrolled)
Curricular units 2nd sem (enrolled),0.01599724346791159,Curricular units 2nd sem (enrolled)
Unemployment rate,0.014139118180114736,Unemployment rate
GDP,0.01404781436080524,GDP
Inflation rate,0.01367774429369635,Inflation rate
Debtor_1,0.010793342442079593,Debtor
Gender_1,0.009523425449643557,Gender
Gender_0,0.008468241181979488,Gender
Debtor_0,0.007783741435091284,Debtor
Course_Other,0.007196457144221246,Course
Application mode_1,0.00702540280778506,Application mode
Application mode_39,0.006367366683839028,Application mode
Curricular units 1st sem (credited),0.00592010246718855,Curricular units 1st sem (credited)
Curricular units 2nd sem (credited),0.005589276250822483,Curricular units 2nd sem (credited)
Application order_1,0.004998302523776676,Application order
Mother's occupation_9,0.004267125719802076,Mother's occupation
Father's occupation_Other,0.004244160960574663,Father's occupation
Displaced_1,0.004210956050750874,Displaced
Displaced_0,0.004151838705727901,Displaced
Mother's occupation_4,0.004035564700087661,Mother's occupation
Father's qualification_1,0.004032870839693112,Father's qualification
Mother's qualification_19,0.004027877579327366,Mother's qualification
Father's qualification_19,0.0039304811086595245,Father's qualification
Mother's qualification_1,0.0039026152023233607,Mother's qualification
Application order_3,0.0038889398946394278,Application order
Father's occupation_9,0.003649784557198302,Father's occupation
Mother's occupation_Other,0.0036185786462550997,Mother's occupation
Application mode_17,0.0034775443392059016,Application mode
Father's qualification_37,0.003441463509303264,Father's qualification
Father's occupation_7,0.0033876435934738244,Father's occupation
Mother's qualification_37,0.0033575068736567022,Mother's qualification
Course_9773,0.0032831860853025007,Course
Father's occupation_3,0.003282586240597987,Father's occupation
Father's qualification_38,0.0032600172392199494,Father's qualification
Father's qualification_Other,0.0032052031229840433,Father's qualification
Application mode_Other,0.0031740352503191118,Application mode
Curricular units 1st sem (without evaluations),0.00311763031407034,Curricular units 1st sem (without evaluations)
Application order_2,0.003112614817747971,Application order
Previous qualification_1,0.003090397679655318,Previous qualification
Mother's occupation_5,0.0030670825050392657,Mother's occupation
Mother's qualification_3,0.0030608822655747506,Mother's qualification
Mother's occupation_3,0.0029441509771696976,Mother's occupation
Curricular units 2nd sem (without evaluations),0.0028640659374131313,Curricular units 2nd sem (without evaluations)
Father's qualification_3,0.0028230845332739823,Father's qualification
Course_9500,0.0027475559219132034,Course
Mother's qualification_38,0.002719501773565208,Mother's qualification
Father's occupation_4,0.002704511692975234,Father's occupation
Mother's qualification_Other,0.002700400377569061,Mother's qualification
Course_9238,0.0026243185792819363,Course
Father's occupation_5,0.002418498576332452,Father's occupation
Mother's occupation_2,0.0022763235055675755,Mother's occupation
Daytime/evening attendance_1,0.0020322518960595396,Daytime/evening attendance
Course_9085,0.002013963802061515,Course
Application order_6,0.0020019694377103807,Application order
Daytime/evening attendance_0,0.0019248701992323318,Daytime/evening attendance
Course_9147,0.0019205484104625047,Course
Application order_4,0.0018815663746977907,Application order
Marital status_1,0.0017740969182583495,Marital status
Marital status_2,0.0017469287629185597,Marital status
Application mode_43,0.0016858715270270208,Application mode
Previous qualification_3,0.001222272598724503,Previous qualification
Previous qualification_Other,0.00109016174222387,Previous qualification
Previous qualification_19,0.0010899953849679588,Previous qualification
Application order_5,0.0010688690381988248,Application order
Previous qualification_39,0.0008948198949333086,Previous qualification
Application mode_44,0.0008484033887199916,Application mode
International_1,0.0007875613045000252,International
Nacionality_1,0.0007793934465087312,Nacionality
International_0,0.0006604460764041366,International
Educational special needs_1,0.0005559477150391097,Educational special needs
Nacionality_Other,0.0005466580078058155,Nacionality
Educational special needs_0,0.0004800516321110098,Educational special needs
Nacionality_41,0.00046027867655108604,Nacionality
Marital status_4,0.00045317586806698526,Marital status
Previous qualification_12,0.000354986493541338,Previous qualification
Marital status_5,0.0003532478768277747,Marital status
Nacionality_26,0.0002378787703197341,Nacionality
Nacionality_24,8.39267868457283e-05,Nacionality
Marital status_3,2.6082197809919685e-05,Marital status
Nacionality_6,2.0427041654221575e-05,Nacionality
Marital status_6,0.0,Marital status
