feature,importance_mean_auc_drop,importance_std
Curricular units 2nd sem (approved),0.06203485366699942,0.005318889170450306
Tuition fees up to date,0.01720023509584394,0.0032004324924954294
Curricular units 1st sem (approved),0.010623393452722318,0.0028685265040562452
Curricular units 2nd sem (grade),0.008766525750784172,0.003497941918113417
Scholarship holder,0.0030227873019918585,0.0013749573428988248
Course,0.0026936885263313614,0.0004299571531217871
Curricular units 1st sem (grade),0.0023520206204546866,0.002855114533136017
Curricular units 1st sem (enrolled),0.0023405136702567718,0.0006665138236982148
Curricular units 2nd sem (enrolled),0.002048414165232648,0.0005308801576164001
Application mode,0.0014996211557934292,0.0009472089365493208
