model,bin,bin_left,bin_right,n,mean_confidence,observed_accuracy,abs_calibration_error
Logistic Regression,3,0.2,0.30000000000000004,8,0.2921443544328213,0.375,0.08285564556717873
Logistic Regression,4,0.30000000000000004,0.4,773,0.3702196480771394,0.3428201811125485,0.02739946696459089
Logistic Regression,5,0.4,0.5,5136,0.4634165982556213,0.47702492211838005,0.013608323862758731
Logistic Regression,6,0.5,0.6000000000000001,9589,0.5492989461356574,0.5408280321201376,0.008470914015519804
Logistic Regression,7,0.6000000000000001,0.7000000000000001,7532,0.6473675360561874,0.616436537440255,0.030930998615932404
Logistic Regression,8,0.7000000000000001,0.8,5669,0.7470595005601987,0.6659022755336038,0.08115722502659484
Logistic Regression,9,0.8,0.9,3949,0.8476160494518691,0.6859964547986832,0.16161959465318587
Logistic Regression,10,0.9,1.0,3344,0.9509518666094855,0.6895933014354066,0.26135856517407885
Decision Tree,4,0.30000000000000004,0.4,13,0.3673550618461494,0.07692307692307693,0.2904319849230725
Decision Tree,5,0.4,0.5,329,0.4503792855920421,0.3282674772036474,0.1221118083883947
Decision Tree,6,0.5,0.6000000000000001,3248,0.5510973145808787,0.49907635467980294,0.0520209599010758
Decision Tree,7,0.6000000000000001,0.7000000000000001,3052,0.6537662473295962,0.5016382699868939,0.15212797734270234
Decision Tree,8,0.7000000000000001,0.8,2894,0.7508416731548674,0.6185210780926054,0.13232059506226201
Decision Tree,9,0.8,0.9,4145,0.8494317001584241,0.6446320868516284,0.20479961330679564
Decision Tree,10,0.9,1.0,22319,0.9875090653063767,0.9047896411129531,0.0827194241934236
Random Forest,3,0.2,0.30000000000000004,8,0.2786832958451916,0.125,0.15368329584519158
Random Forest,4,0.30000000000000004,0.4,157,0.3707488075858307,0.4140127388535032,0.04326393126767253
Random Forest,5,0.4,0.5,1081,0.4668040740456409,0.547641073080481,0.08083699903484015
Random Forest,6,0.5,0.6000000000000001,4325,0.5504999863274914,0.6672832369942197,0.11678325066672823
Random Forest,7,0.6000000000000001,0.7000000000000001,5271,0.6523576868526956,0.8292544109277177,0.1768967240750221
Random Forest,8,0.7000000000000001,0.8,6903,0.7527911324775927,0.9472693032015066,0.19447817072391393
Random Forest,9,0.8,0.9,9704,0.8521682379761588,0.9804204451772465,0.12825220720108765
Random Forest,10,0.9,1.0,8551,0.9403777952165926,0.9960238568588469,0.055646061642254274
HistGradientBoosting,4,0.30000000000000004,0.4,37,0.36848793079854436,0.2972972972972973,0.07119063350124705
HistGradientBoosting,5,0.4,0.5,319,0.46910221905651794,0.4670846394984326,0.0020175795580853473
HistGradientBoosting,6,0.5,0.6000000000000001,3596,0.5496252505370725,0.553670745272525,0.0040454947354525705
HistGradientBoosting,7,0.6000000000000001,0.7000000000000001,4092,0.6514645451566079,0.7013685239491692,0.049903978792561254
HistGradientBoosting,8,0.7000000000000001,0.8,5404,0.7524610795972421,0.8293856402664693,0.07692456066922726
HistGradientBoosting,9,0.8,0.9,8023,0.8548777607432302,0.92932818147825,0.07445042073501984
HistGradientBoosting,10,0.9,1.0,14529,0.954110913420851,0.9849266983274829,0.03081578490663195
