feature,importance
Elevation,0.23715278604522289
Horizontal_Distance_To_Roadways,0.10333286392424405
Horizontal_Distance_To_Fire_Points,0.07953007144801243
Horizontal_Distance_To_Hydrology,0.05968579460522885
Vertical_Distance_To_Hydrology,0.04849612285758611
Hillshade_9am,0.04374610844123724
Aspect,0.041545950214442864
Wilderness_Area_4,0.040808792155153505
Hillshade_3pm,0.037240769875576875
Hillshade_Noon,0.03606202824204464
Slope,0.028066581605163978
Soil_Type_10,0.026153446255289182
Wilderness_Area_1,0.022250654726795896
Soil_Type_39,0.022053265432422073
Wilderness_Area_3,0.020811105484799215
Soil_Type_3,0.020439369674245474
Soil_Type_38,0.020070913110956615
Soil_Type_4,0.013723749742117503
Soil_Type_40,0.010925912428830235
Soil_Type_30,0.009086844725275874
Soil_Type_17,0.007737479605678778
Soil_Type_2,0.0074051038555406415
Soil_Type_22,0.006300928154149077
Soil_Type_13,0.006215002906085391
Soil_Type_12,0.005100411513401855
Soil_Type_23,0.0050253312569007984
Wilderness_Area_2,0.004959325910157429
Soil_Type_29,0.004808362257969985
Soil_Type_32,0.004294292681294308
Soil_Type_33,0.003974733657986572
Soil_Type_11,0.0033261159704369944
Soil_Type_6,0.002901266920990045
Soil_Type_35,0.0025298533556877534
Soil_Type_31,0.002485158088719662
Soil_Type_24,0.0024227224843825497
Soil_Type_1,0.0017734710122174501
Soil_Type_20,0.0013609250482739998
Soil_Type_5,0.0013150900321844674
Soil_Type_14,0.0010077890051829826
Soil_Type_18,0.0008164824090028314
Soil_Type_16,0.0006832322877168887
Soil_Type_37,0.0006302062160853754
Soil_Type_26,0.00046373392290580145
Soil_Type_19,0.00039203602880306465
Soil_Type_34,0.0002501327828829459
Soil_Type_28,0.0001856806518150237
Soil_Type_21,0.00017467213637320769
Soil_Type_27,8.931493762126148e-05
Soil_Type_9,8.363353314041138e-05
Soil_Type_36,4.4461183237095656e-05
Soil_Type_25,2.3220471707069687e-05
Soil_Type_8,1.7309185351931042e-05
Soil_Type_7,1.1198815069486908e-05
Soil_Type_15,8.190726401463328e-06
