algorithm,k,inertia,silhouette,calinski_harabasz,ARI_vs_Target,ARI_vs_Wilderness
Agglomerative Ward,2,,0.15261943638324738,406.142578125,0.003525888325615451,0.012804948417091663
Agglomerative Ward,3,,0.13976594805717468,351.9644775390625,0.003589511842451516,0.1029428934282295
Agglomerative Ward,4,,0.13099054992198944,348.469482421875,0.0360036223853535,0.1425259657371857
Agglomerative Ward,5,,0.12269879877567291,321.876953125,0.05152071642306718,0.15949629140667157
Agglomerative Ward,6,,0.08978725224733353,301.7496643066406,0.029092566974239793,0.1181432322645445
Agglomerative Ward,7,,0.09540223330259323,280.0094299316406,0.028191366632340877,0.10840033663113234
Agglomerative Ward,8,,0.09633053839206696,265.5783996582031,0.02074406832214714,0.13311620713167027
Agglomerative Ward,9,,0.09859337657690048,251.281005859375,0.01632118758439933,0.10300629594632792
Agglomerative Ward,10,,0.09621311724185944,238.6165008544922,0.02146515213037311,0.10552950807943616
