feature,importance_mean,importance_std
Elevation,0.3579317693229529,0.0076581609954439085
Horizontal_Distance_To_Roadways,0.14018332907493458,0.003599784096253516
Horizontal_Distance_To_Fire_Points,0.10315149495008487,0.0027793781396166727
Horizontal_Distance_To_Hydrology,0.059234613001572956,0.0024252532737480963
Soil_Type_10,0.020357553425427242,0.0008828833202357149
Vertical_Distance_To_Hydrology,0.020049475034223073,0.0016071709035694122
Wilderness_Area_1,0.017255328958417616,0.0012994586904553243
Wilderness_Area_4,0.01461864280665448,0.0014769510183030355
Soil_Type_39,0.013294259173438027,0.001394164187367593
Hillshade_Noon,0.013285835669756895,0.0006869534033476231
Hillshade_9am,0.013101763357477259,0.001256348044876805
Wilderness_Area_3,0.01236064414999687,0.0015265260566383755
Soil_Type_3,0.012343874931445908,0.0007287900126040596
Aspect,0.010203932872314091,0.0009864235746567997
Hillshade_3pm,0.009087728248127513,0.0008158392103674057
Soil_Type_29,0.007806919621435782,0.0005869612555789475
Slope,0.006910233984354574,0.00207087902670565
Soil_Type_38,0.00585891591020804,0.0006873409018738089
Soil_Type_30,0.005082940643970213,0.0007589694395445938
Soil_Type_4,0.004790849381498119,0.0007232282190874213
Soil_Type_23,0.00374238530550397,0.000516519164390326
Soil_Type_32,0.0036952784722183774,0.00040578716905240213
Soil_Type_40,0.0029073994393242542,0.0004975721276405125
Soil_Type_2,0.0024567039519591606,0.0004307386010044999
Soil_Type_6,0.0024489966038135245,0.0002802726364639092
Soil_Type_11,0.002269188314553716,0.00028734079746153314
Soil_Type_22,0.0021752397175046623,0.0008264675725710731
Soil_Type_13,0.0018140902346210242,0.00034609172793907553
Soil_Type_1,0.001793267965934553,0.00012921833453155673
Soil_Type_33,0.0016490431027560205,0.0005009389373973149
Soil_Type_31,0.0015927161534961653,0.0001758930668664862
Soil_Type_17,0.0015431286553955425,0.00045477966719266444
Soil_Type_24,0.0012999546518515758,0.00019131079259616406
Soil_Type_18,0.0009719956893811333,6.547657544224706e-05
Wilderness_Area_2,0.0009261644737803109,0.0002936349657846717
Soil_Type_5,0.0007739396551715183,0.000244715811042798
Soil_Type_35,0.0003311858953082947,8.480559598885093e-05
Soil_Type_12,0.0002200042225399379,0.0002946563862472457
Soil_Type_27,0.00016399641211328753,0.0
Soil_Type_19,7.147521692862924e-05,0.0
Soil_Type_34,4.6876291457254025e-05,9.375258291450805e-05
Soil_Type_20,3.761751001720715e-05,0.00016029735579059311
Soil_Type_37,3.342970532771439e-05,6.685941065542877e-05
Soil_Type_21,3.0408888305499814e-05,6.081777661099963e-05
Soil_Type_36,0.0,0.0
Soil_Type_9,0.0,0.0
Soil_Type_25,0.0,0.0
Soil_Type_28,0.0,0.0
Soil_Type_7,0.0,0.0
Soil_Type_15,0.0,0.0
Soil_Type_8,0.0,0.0
Soil_Type_26,-0.0002389155693456324,0.0
Soil_Type_16,-0.0003084468342625657,0.0
Soil_Type_14,-0.0003240551101538758,0.0
