threshold,flagged_rate,accuracy,precision,recall,f1,AUC,strategy
0.1,0.5831037649219467,0.7823691460055097,0.6488188976377953,0.9671361502347418,0.7766258246936852,0.9640168815810903,threshold_0.10
0.15000000000000002,0.5234159779614325,0.8365472910927456,0.7175438596491228,0.960093896713615,0.821285140562249,0.9640168815810903,threshold_0.15
0.20000000000000004,0.4756657483930211,0.8732782369146006,0.777992277992278,0.9460093896713615,0.8538135593220338,0.9640168815810903,threshold_0.20
0.25000000000000006,0.4527089072543618,0.8870523415977961,0.8073022312373225,0.9342723004694836,0.8661588683351469,0.9640168815810903,threshold_0.25
0.30000000000000004,0.43434343434343436,0.8962350780532599,0.8308668076109936,0.9225352112676056,0.8743047830923248,0.9640168815810903,threshold_0.30
0.3500000000000001,0.42056932966023874,0.9008264462809917,0.8471615720524017,0.9107981220657277,0.8778280542986425,0.9640168815810903,threshold_0.35
0.40000000000000013,0.4067952249770432,0.9090909090909091,0.8690744920993227,0.903755868544601,0.8860759493670886,0.9640168815810903,threshold_0.40
0.45000000000000007,0.38659320477502296,0.9182736455463728,0.9002375296912114,0.8896713615023474,0.8949232585596222,0.9640168815810903,threshold_0.45
0.5000000000000001,0.37649219467401285,0.9228650137741047,0.9170731707317074,0.8826291079812206,0.8995215311004785,0.9640168815810903,threshold_0.50
0.5500000000000002,0.36179981634527086,0.928374655647383,0.9416243654822335,0.8708920187793427,0.9048780487804878,0.9640168815810903,threshold_0.55
0.6000000000000002,0.35353535353535354,0.931129476584022,0.9558441558441558,0.863849765258216,0.9075215782983971,0.9640168815810903,threshold_0.60
0.6500000000000001,0.34527089072543615,0.9302112029384757,0.9654255319148937,0.852112676056338,0.9052369077306733,0.9640168815810903,threshold_0.65
0.7000000000000002,0.33884297520661155,0.931129476584022,0.975609756097561,0.8450704225352113,0.9056603773584906,0.9640168815810903,threshold_0.70
0.7500000000000002,0.3333333333333333,0.9292929292929293,0.9807162534435262,0.8356807511737089,0.9024081115335868,0.9640168815810903,threshold_0.75
0.8000000000000002,0.325068870523416,0.9228650137741047,0.9830508474576272,0.8169014084507042,0.8923076923076924,0.9640168815810903,threshold_0.80
0.8500000000000002,0.3122130394857668,0.9118457300275482,0.9852941176470589,0.7863849765258216,0.8746736292428199,0.9640168815810903,threshold_0.85
0.9000000000000002,0.29935720844811753,0.898989898989899,0.9846625766871165,0.7535211267605634,0.8537234042553191,0.9640168815810903,threshold_0.90
0.9704300671150795,0.2497704315886134,0.8567493112947658,0.9963235294117647,0.636150234741784,0.7765042979942693,0.9640168815810903,top_25pct_capacity
